,Area Name:,Latitude,Longitude
314,Castle Naze,3.303,-1.922
315,Buxton Boss,3.278,-1.941
316,Cut-thorn Crag,3.211,-1.995
317,Micklea Lane Quarry,3.084,-2.063
318, Back Forest,3.184,-2.021
319,Ebrington Hill,2.082,-1.728
320, Kinder Northern Edges,3.405,-1.865
321, Kinder Downfall,3.396,-1.879
322,Gun End,3.158,-2.052
323,Grinah and Barrow Stones,3.467,-1.808
324,Fairlop Boulders,1.598,0.104
325,Newland Road,1.637,0.425
326,Shining Tor,3.261,-2.009
327, Buxworth Railway Crag,3.339,-1.955
328,The Big Stone,3.356,-1.946
329, Oldgate Nick,3.284,-2.008
330,Windgather Rocks,3.301,-2.009
331, Wolf Mountain Crag,2.590,-2.158
332,Wormstones,3.420,-1.937
333,Mabley Green Boulder,1.549,-0.033
334, Miriam Farm Rocks,3.109,-2.153
335,New Mills Torrs,3.364,-2.001
336, Fry's Hill Park Pinnacle,1.717,-1.203
337, Black Rocks,3.343,-2.019
338,The Oxford Boulder,1.717,-1.204
339,Holmfirth Cliff,3.574,-1.778
340,Beech Cave,2.941,-2.219
341,Shoreditch Park Boulder,1.534,-0.087
342,Bosley Cloud,3.170,-2.144
343,Crowden Great Quarry,3.496,-1.888
344,Cown Edge Rocks,3.423,-1.970
345,Coombes Rocks,3.422,-1.975
346, Black Tor,3.496,-1.903
347, Becca Banks Crag,3.834,-1.350
348, The Chapel,3.251,-2.118
349,Mellor Cross,3.382,-2.023
350,Mile End Urban Adventure Boulder,1.520,-0.033
351, Gnosall Quarry,2.776,-2.262
352, Sector Physics Wall,3.945,-1.053
353, University of York,3.946,-1.056
354,Tintwistle Knarr,3.489,-1.938
355, Laddow,3.510,-1.916
356,Honley Quarry,3.605,-1.801
357,Mow Cop,3.113,-2.215
358,Netherton Edge (Devils Rock),3.609,-1.808
359,The Rainham Boulder,1.521,0.197
360,Honley Old Wood,3.604,-1.819
361,York (Urban),3.957,-1.084
362,Rob's Rocks,3.513,-1.956
363, West Nab,3.575,-1.886
364,Pattingham,2.582,-2.277
365, Blackmoorfoot,3.614,-1.847
366,Hobson Moor Quarry,3.467,-2.018
367,Dovestones Skyline,3.525,-1.961
368,Crosland Moor,3.635,-1.823
369,Standing Stones,3.544,-1.943
370,Tomb Crag,2.449,-2.243
371,Dovestones Edge,3.533,-1.959
372, Wimberry Rocks,3.519,-1.976
373,The Standlake Boulder,1.724,-1.419
374,Longwood Tower Quarry,3.647,-1.831
375,Henry Price,3.809,-1.558
376,Binn Green,3.536,-1.974
377,Outcrop,3.551,-1.958
378,Rainham Marshes Boulders,1.488,0.230
379,Kinver Secret Wall,2.434,-2.257
380,Alderman Rocks,3.538,-1.978
381,Rawcliffe boulder York,3.984,-1.122
382, Upperwood Quarry,3.551,-1.969
383,Hetchell,3.877,-1.429
384, Flamborough Head,4.117,-0.079
385,Piper Stones,3.601,-1.914
386,Slades Rocks,3.550,-1.977
387,Pots and Pans Quarries,3.544,-1.985
388, The Bear Pit,3.815,-1.576
389, Alderley Edge,3.293,-2.210
390,Heighley Castle Quarries,3.021,-2.338
391,Running Hill Pits,3.564,-1.974
392, Worlow Quarry,3.589,-1.946
393,Post Hill Quarry,3.793,-1.639
394,Lindley Moor Edge,3.666,-1.850
395,Thornwick Bay Cave,4.130,-0.105
396,Brun Clough Quarry,3.576,-1.974
397,Pule Hill Rocks,3.594,-1.953
398,Den Lane Quarry,3.551,-2.010
405, Mount Edgcumbe Rocks,1.132,0.255
406, Bulls Hollow Rocks,1.133,0.241
407,Toad Rocks (Denny Bottom Rocks),1.134,0.240
408, Happy Valley Rocks,1.130,0.235
409, Ramslye Farm Rocks,1.119,0.239
410, High Rocks Continuation Wall,1.124,0.232
411, High Rocks Annexe,1.125,0.231
412, High Rocks,1.122,0.226
413, Eridge Green Rocks,1.099,0.219
414, Harrison's Rocks,1.102,0.188
415, Bowles Rocks,1.075,0.199
416, Rocks Inn,1.166,0.140
417, Birchcope Shaw Rocks,1.156,0.135
418, Bassett's Farm Rocks,1.152,0.131
419, Tubwell Farm Rocks,1.039,0.182
420, Under Rockes,1.016,0.216
421,Lampool Farm Rocks,1.012,0.083
422,Standen Rocks,1.098,-0.021
423,Stone Farm East,1.097,-0.025
424,Elephant rock continuation,0.978,0.096
425, Stone Farm,1.096,-0.030
426, West Hoathly North Rocks,1.085,-0.060
427,Sandhole Wood Quarry,1.052,-0.096
428, Balcombe Mill Rocks,1.058,-0.120
429,Rocks Lane Rocks,1.057,-0.137
430,West Hill,0.856,0.587
431,Rainham Marshes Boulders,1.488,0.230
432,Hastings,0.860,0.609
433,The Rainham Boulder,1.521,0.197
434,Mile End Urban Adventure Boulder,1.520,-0.033
435,Hove Park Boulder,0.843,-0.175
436,Mabley Green Boulder,1.549,-0.033
437,Shoreditch Park Boulder,1.534,-0.087
438,Fairlop Boulders,1.598,0.104
439,Newland Road,1.637,0.425
440,Widwal Slabs,1.711,0.448
441, Pilgrim's Walls,1.229,-0.601
442,D H plane,1.768,-0.236
443,End of the Line Bridge,1.861,0.387
444,Church Lane Bridge,1.867,0.303
445,Crumps Farm Bridge,1.867,0.302
446,Broken Bridge,1.865,0.417
447,The Green Man Bridge,1.867,0.247
448,Disused Railway Bridge Braintree,1.874,0.532
449,London Road Bridge,1.875,0.546
450, Broomhills Ind Est,1.878,0.534
451,Sewer Wall Braintree,1.890,0.577
452, Bo Selecta,1.846,0.944
453, The Grotto (Crag X),1.438,-0.939
454,Culver Cliff,0.666,-1.108
455,Newbury Bridge,1.293,-1.337
456,Victoria Avenue Road Bridge,2.212,0.124
457,Fen Ditton Railway Bridge (The Was),2.218,0.181
458,Histon Road Recreation Boulder,2.218,0.110
459, Fry's Hill Park Pinnacle,1.717,-1.203
460,The Oxford Boulder,1.717,-1.204
461,Gnomon,2.050,-0.736
462, Bromham Hall Gateposts,2.152,-0.503
463, Troll Wall,2.065,-0.819
464,The Standlake Boulder,1.724,-1.419
465,Marlborough Bridge,1.426,-1.714
466,Finedon Slabs,2.341,-0.660
469, Clogwyn Cyrau,3.097,-3.810
470,Maes Newyddion Woods,3.093,-3.835
471,Rhiw Goch Boulders,3.070,-3.852
472,Rhiw Lwyd,3.032,-3.776
473,Crafnant bouldering,3.125,-3.893
474,Y Pincin (The Pinnacles),3.104,-3.908
475,Plas y Brenin Boulder,3.100,-3.914
476,Gelli Boulder,3.110,-3.915
477,Mymbyr Boulder,3.099,-3.923
478,Llyn Mymbyr Boulder,3.099,-3.933
479, Creigiau'r Garth,3.091,-3.935
480,Creigiau Llynnau Mymbyr,3.101,-3.934
481,RAC Boulders,3.100,-3.946
482,Gallt yr Ogof Boulder,3.120,-3.959
483, Caseg Fraith Boulder,3.122,-3.968
484,Craig Caseg Fraith Uchaf,3.119,-3.971
485,Standing Loon Only Boulders,3.078,-3.976
486,Carreg Mianog Boulders,3.136,-3.965
487,Cerrig cochion,3.184,-3.909
488,Craig Nant Bach,3.113,-3.987
489,Tryfan Rest Boulder,3.120,-3.989
490,Mallory Boulder,3.092,-3.998
491,George's Crack Area,3.125,-3.991
492,Glyder Path Boulders,3.125,-3.993
493,The irvine boulder,3.080,-4.000
494,Pen y Gwryd boulder,3.081,-4.001
495,Dulyn Bothy bouldering,3.179,-3.943
496,Clogwyn Garw,2.984,-3.896
497,Milestone Buttress Boulders,3.121,-3.999
498,Lily Savage boulders,3.131,-4.000
499,Orion Boulder,3.118,-4.007
500,Ysgolion Duon (Black Ladders),3.149,-3.990
501,Lakeside Boulders (ogwen),3.125,-4.006
502,Craig Peniel,2.988,-3.928
503,Clogwyn y Bustach,3.062,-4.013
504,Chwarel Manod,2.985,-3.927
505,Bogside Boulder,3.123,-4.014
506,Clogwyn y Tarw (The Gribin Facet),3.116,-4.017
507,Carreg y Foel Gron,2.967,-3.870
508,The pyg track boulders,3.080,-4.023
509,Idwall Quarry / Tin Can Alley,3.123,-4.018
510,The Convenience Boulders,3.081,-4.024
511,Craig Braich Ty Du (Pen yr Ole Wen),3.126,-4.020
512,Idwal Slabs (aka Cwm Idwal),3.110,-4.025
513,Clogwyn y Wenallt,3.055,-4.019
514,Idwal Cottage Crag,3.123,-4.023
515,Cwm Dyli Boulders,3.069,-4.025
